ID,Language
376,English
376,Latin
377,English
378,French
378,English
379,English
379,Swedish
380,English
381,English
382,English
383,English
384,English
384,Russian
384,Romanian
384,Slovenian
385,English
386,English
387,Filipino
387,Tagalog
387,English
387,Spanish
388,English
388,Portuguese
388,Japanese
389,English
390,English
391,English
392,French
392,English
394,English
395,English
396,Spanish
396,Portuguese
396,Italian
397,English
397,Aboriginal
398,English
399,English
400,English
401,English
402,English
402,Ukrainian
403,French
403,English
403,Italian
403,German
403,Yiddish
404,Georgian
405,English
406,Hindi
407,English
407,Turkmen
407,Cantonese
407,Italian
407,Spanish
407,Ukrainian
407,French
408,English
408,German
409,English
410,English
411,English
412,English
412,Irish
412,French
413,English
413,Italian
414,English
414,Spanish
414,German
414,Russian
415,English
416,English
417,English
418,Spanish
418,English
418,Catalan
419,English
420,English
421,English
422,English
422,Russian
422,Spanish
423,English
423,German
423,French
423,Latin
424,Hindi
424,English
425,English
426,English
426,Mandarin
427,English
428,French
429,English
430,English
430,French
430,Hungarian
431,Hindi
431,Urdu
432,English
433,English
434,Hindi
435,Hindi
436,English
437,English
437,Turkish
437,Greek
437,Russian
438,English
439,English
439,Japanese
439,German
439,French
440,English
441,English
441,Russian
442,English
442,Persian
442,Arabic
443,English
443,Latin
444,English
445,English
446,Hindi
447,Hindi
448,English
449,English
450,English
451,English
452,English
453,English
454,English
455,English
456,English
457,English
457,Korean
457,Cantonese
457,Spanish
457,German
457,Icelandic
457,Italian
457,Arabic
458,Mandarin
458,Cantonese
458,Japanese
459,English
460,English
461,English
462,English
463,English
464,English
464,French
464,Tibetan
464,Mandarin
464,Russian
464,Hindi
464,Portuguese
464,Latin
464,Italian
464,Spanish
465,Spanish
465,Hindi
465,English
465,Mandarin
465,French
466,English
466,Min Nan
466,Mandarin
467,English
468,English
469,English
470,Cantonese
470,Mandarin
470,English
471,Spanish
471,French
471,Dutch
471,Mapudungun
472,English
473,English
474,English
475,English
476,English
477,Hindi
478,English
478,Akan
479,English
480,English
481,English
482,English
483,English
484,English
485,Russian
486,English
487,Hindi
487,English
487,Marathi
487,Tamil
488,English
489,English
490,English
491,English
492,Portuguese
492,English
493,Spanish
493,German
494,English
495,English
496,English
497,Hindi
497,English
498,Japanese
499,English
500,English
501,English
502,English
503,English
504,English
505,English
505,Spanish
506,Hindi
506,English
507,English
507,Dutch
508,English
508,Japanese
509,French
509,English
509,Spanish
509,Arabic
510,English
510,German
510,Russian
511,English
511,German
512,English
513,English
514,Hindi
515,English
515,Russian
516,English
517,English
518,English
520,Mandarin
520,English
520,Russian
520,French
520,Japanese
520,Korean
520,Indonesian
520,Hindi
521,English
521,French
522,English
523,English
524,English
525,English
526,Urdu
526,Pushto
527,English
527,Russian
527,Spanish
528,Hindi
529,English
530,English
531,English
532,English
533,English
533,Hindi
534,Basque
535,English
536,English
537,Hindi
538,Hindi
538,English
539,English
541,English
542,English
543,English
544,English
545,English
546,English
547,English
548,Tamil
549,English
550,English
551,English
552,English
553,English
553,Spanish
554,English
555,English
556,English
557,English
558,English
558,Spanish
559,English
560,English
561,English
562,English
563,English
564,English
564,Spanish
564,Arabic
564,Polish
564,Turkish
564,Russian
564,Italian
564,Persian
565,Hindi
566,English
567,English
568,English
569,Spanish
569,French
569,English
570,English
570,Mandarin
571,English
571,French
572,English
574,Japanese
575,English
576,English
576,Spanish
576,Chinese
576,Russian
576,Portuguese
577,English
577,Hebrew
577,Arabic
577,Italian
578,English
579,Spanish
580,English
581,English
581,French
582,English
583,Japanese
584,English
585,English
586,English
587,English
588,Mandarin
588,Arabic
588,English
589,English
590,English
591,English
592,English
592,Spanish
593,English
594,English
595,Spanish
596,English
597,English
598,English
599,Arabic
599,English
599,Dutch
600,English
601,English
602,English
603,Hindi
604,Danish
605,English
605,Italian
605,Polish
605,French
606,Hindi
606,English
606,Urdu
607,English
608,English
609,Hindi
609,English
610,English
611,English
612,Filipino
612,Tagalog
613,English
613,French
614,English
615,English
615,Serbo-Croatian
616,English
616,French
617,Italian
618,English
619,Hindi
620,English
620,Chinese
621,Hindi
622,English
622,German
623,Japanese
623,English
624,English
625,English
626,Hindi
626,Urdu
627,Hindi
628,English
629,English
630,English
631,English
631,Italian
631,French
632,Mandarin
632,English
633,English
634,English
635,English
635,French
635,Italian
636,English
636,Spanish
636,Swedish
637,Japanese
638,English
639,English
